variant,method,latency_ms_mean,stability_cosine_mean,causal_alignment_spearman,leakage_shift_mean,evidence_purity
baseline,attention,1.1477255941572366,0.8472360335821723,0.8999999999999998,,
baseline,integrated_gradients,5.620738278186764,0.8749348452189791,0.9999999999999998,,
baseline,lime,48.75412967418379,0.8255830521492279,0.8999999999999998,,
baseline,kernel_shap,142.65765523207665,0.8435890004757963,0.9999999999999998,,
baseline,modality_ablation,3.984213113828446,0.8272271421063977,0.9999999999999998,,
baseline,gradcam,2.296934783953475,0.8683001710661524,,0.056142019714932004,
baseline,retrieval_proxy,2.3536006360518513,,,,0.4132
causal_invariance,attention,1.3240661959862337,0.8934513186396955,0.8999999999999998,,
causal_invariance,integrated_gradients,6.40102854615543,0.8820229577488787,0.9999999999999998,,
causal_invariance,lime,53.2414581321209,0.828892030906838,0.8999999999999998,,
causal_invariance,kernel_shap,163.1928017459286,0.8506215394418293,0.9999999999999998,,
causal_invariance,modality_ablation,4.49372835214308,0.8362174454656429,0.8999999999999998,,
causal_invariance,gradcam,2.5525510862935334,0.8221110957819294,,0.016192352142441274,
causal_invariance,retrieval_proxy,3.0121979001996806,,,,0.5835999999999999
